order_id,contract_number,product_code,salesman_num,product_num,estimated_delivery_data,lodgement_data
1,1,1,1,480,2018/4/3,
2,1,2,2,750,2018/3/12,
3,1,3,3,750,2018/2/5,
4,1,4,4,740,2018/2/23,
5,1,5,1,500,2018/2/19,
6,2,6,5,310,2017/7/25,
7,2,7,6,610,2017/7/22,
8,2,8,5,160,2017/8/10,
9,2,9,7,770,2017/8/7,
10,2,8,8,430,2017/7/13,
11,2,10,9,1000,2017/7/23,
12,2,11,10,430,2017/7/18,
13,2,12,11,130,2017/8/19,
14,2,13,12,1000,2017/9/1,
15,2,14,13,170,2017/8/25,
16,2,15,14,600,2017/7/13,
17,2,16,15,300,2017/8/13,
18,2,17,16,770,2017/8/17,
19,2,18,17,690,2017/8/2,
20,2,19,18,780,2017/8/12,
21,2,20,19,820,2017/8/24,
22,2,20,20,180,2017/9/3,
23,3,21,21,150,2004/1/20,
24,3,8,22,780,2003/12/13,
25,3,22,23,40,2003/12/2,
26,4,23,24,750,2018/5/31,
27,4,24,25,580,2018/5/11,
28,4,25,26,190,2018/6/21,
29,4,26,27,900,2018/5/28,
30,4,27,28,1000,2018/5/29,
31,4,28,29,50,2018/6/18,
32,4,7,27,240,2018/5/21,
33,4,29,30,130,2018/5/14,
34,4,30,24,540,2018/5/3,
35,4,31,31,710,2018/4/27,
36,4,32,32,10,2018/6/6,
37,5,33,33,270,2001/6/21,
38,5,34,34,940,2001/6/25,
39,5,35,35,840,2001/7/10,
40,5,36,36,760,2001/7/5,
41,5,37,37,660,2001/6/28,
42,6,38,38,860,2021/7/19,
43,6,39,39,70,2021/6/24,
44,6,40,40,470,2021/6/6,
45,6,41,35,80,2021/6/28,
46,6,42,41,590,2021/7/5,
47,6,43,42,380,2021/6/1,
48,6,44,7,420,2021/7/8,
49,6,45,43,970,2021/7/7,
50,6,46,15,960,2021/6/3,
51,6,47,44,640,2021/6/21,
52,6,48,45,320,2021/6/13,
53,6,49,46,920,2021/7/5,
54,6,50,47,110,2021/6/17,
55,7,30,48,900,2015/4/13,
56,7,51,49,670,2015/3/15,
57,8,52,50,540,2010/10/23,
58,9,1,51,580,2000/11/17,
59,9,53,52,520,2000/11/27,
60,10,54,53,30,2003/6/7,
61,10,1,54,270,2003/5/14,
62,10,55,55,240,2003/6/15,
63,10,56,56,30,2003/5/31,
64,10,57,57,150,2003/6/13,
65,10,58,58,530,2003/5/17,
66,10,59,59,240,2003/5/30,
67,10,60,60,750,2003/5/3,
68,10,61,61,480,2003/5/24,
69,10,62,62,160,2003/5/5,
70,10,63,63,860,2003/5/25,
71,11,64,64,610,2013/5/18,
72,12,65,65,960,2018/1/6,
73,12,66,66,220,2017/12/12,
74,12,67,67,480,2017/12/14,
75,12,68,68,350,2018/1/1,
76,12,35,69,600,2017/12/28,
77,12,69,70,930,2018/1/12,
78,12,70,71,850,2018/1/28,
79,12,71,72,560,2018/1/22,
80,13,72,73,130,2021/1/30,
81,13,73,74,380,2021/1/12,
82,13,74,75,350,2021/2/24,
83,13,75,76,970,2021/2/14,
84,13,76,77,640,2021/2/23,
85,13,77,78,210,2021/1/25,
86,13,78,76,510,2021/2/13,
87,13,22,79,280,2021/2/16,
88,13,79,80,20,2021/3/2,
89,13,80,81,330,2021/3/6,
90,13,81,75,10,2021/3/7,
91,13,13,82,180,2021/1/21,
92,13,82,83,760,2021/3/12,
93,13,83,25,910,2021/1/30,
94,13,84,84,60,2021/1/14,
95,13,85,85,100,2021/1/24,
96,13,86,86,230,2021/2/22,
97,13,20,87,600,2021/2/8,
98,14,78,9,870,2022/1/20,
99,15,87,88,220,2005/7/3,
100,16,88,89,440,2015/4/19,
101,16,41,90,490,2015/4/25,
102,16,59,91,480,2015/4/28,
